disease_id,disease_name,context_summary,domain,body_system,symptoms,urgency_classification,recommended_tests,prevalence,disease_synonyms,link,notes,TRUE,Medical Taxonomy (set of specialties/domains),Explanation,,,
9,actinic keratosis,"Actinic keratosis (pronounced ak-TIN-ik ker-uh-TOH-sis), also known as solar keratosis, is a skin condition that happens with too much sun exposure. It causes rough, scaly spots of skin. They commonly appear on your:",dermatology,,"symptoms of the face, irregular appearing scalp, skin dryness/peeling/scaliness or roughness, skin moles, itching of skin",low,"How doctors diagnose actinic keratosis A primary care physician or a dermatologist (a skin specialist) can usually diagnose this condition by examining your skin. They may use a special tool that magnifies your skin to get a better look. This exam is quick and painless. Sometimes, your provider may need to take a small sample of your skin to send to a lab for testing. This is called a skin biopsy .","0.698, 0.528, 0.523, 0.518, 0.514",,https://my.clevelandclinic.org/health/diseases/14148-actinic-keratosis,,TRUE,Musculoskeletal / Orthopedics,"Deals with disorders and injuries of bones, joints, muscles, ligaments, and tendons.",,,
10,acute bronchiolitis,"Bronchiolitis is a viral infection that affects children younger than 2 years old. It causes the airways ( bronchioles ) in your child’s lungs to narrow, which makes breathing difficult. If your child develops this infection, you may notice they have symptoms similar to a common cold (runny nose, cough) in addition to noisy breathing (wheezing).",respiratory,,"fever, nasal congestion, wheezing, vomiting, hurts to breath      ",mild,"How is bronchiolitis diagnosed? Your child’s healthcare provider will diagnose bronchiolitis after a physical exam and testing. During the exam, your child’s provider will check their vital signs and temperature and listen to their breathing through a stethoscope ( auscultation ). You can expect your child’s provider to ask you questions about their symptoms, like: How long has your child had symptoms? Has your child had a fever? Has your child been around others who were sick? Your child’s provider may place a pulse oximeter (pulse ox) on their fingertip or toe to determine how much oxygen is in their blood ( blood oxygen level ). Testing might include a nasal fluid culture, which is a swab that collects fluid from the inside of your child’s nose to detect viruses. If your child has severe symptoms, a chest X-ray might be necessary. Advertisement Do symptoms of bronchiolitis look similar to other conditions? Bronchiolitis has symptoms that are similar to other respiratory infections like bronchitis and pneumonia. It may seem like asthma, which can cause wheezing and trouble breathing. You might wonder if your child breathed in (aspirated) something other than air. Any time that you notice that your child has problems breathing, you should call their healthcare provider. They’ll be able to diagnose one breathing issue from another.","0.523, 0.523, 0.519, 0.515, 0.514",,https://my.clevelandclinic.org/health/diseases/8272-bronchiolitis,,TRUE,Nephrology,Specializes in kidney function and diseases affecting the kidneys and urinary filtration system.,,,
11,"acute bronchitis
",Cleveland Clinic is a non-profit academic medical center. Advertising on our site helps support our mission. We do not endorse non-Cleveland Clinic products or services. Policy,Respiratory,,"nasal congestion, fever, coryza, cough, headache",mild,"How is bronchitis diagnosed? Your healthcare provider can tell if you have bronchitis based on your health history and symptoms (clinical diagnosis). They’ll listen to your lungs for signs of congestion and to make sure you’re breathing well. They might test you for viral infections, like the flu or COVID-19. What tests will be done to diagnose this condition? There aren’t any specific tests to diagnose bronchitis, but you might be tested for other conditions. Possible tests include: Nasal swab . Your healthcare provider may use a soft-tipped stick (swab) in your nose to test for viruses, like COVID-19 or the flu. Chest X-ray . If your cough lasts for a long time, you may get a chest X-ray to rule out more serious conditions. Your healthcare provider will use a machine to get pictures of your heart and lungs. They’ll look for signs of other diseases that could cause your symptoms. Blood tests. Your provider may do blood tests, using a needle in your arm, to look for infections or check your overall health. Sputum test. Your provider may have you cough and then spit into a tube. Your sample will be tested for signs of a virus or bacteria. Pulmonary function tests . If your provider thinks you have chronic bronchitis, they may use a machine to test how well your lungs work. Advertisement","0.522, 0.520, 0.518, 0.516, 0.516",,https://my.clevelandclinic.org/health/diseases/3993-bronchitis,,TRUE,Neurology,"Focuses on disorders of the brain, spinal cord, and nerves, such as stroke, epilepsy, and neurodegenerative diseases.",,,
12,acute bronchospasm,"A bronchospasm (pronounced “BRONG-kuh-spaz-uhm”) is when the muscles that line your bronchi tighten. Your bronchi are the tubes that air travels through to get to your lungs. They connect your windpipe (trachea) to your lungs. If the muscles in your bronchi tighten or squeeze, your airways narrow. This limits how much oxygen your body receives. Bronchospasms can occur alongside many different lung conditions, including:",Respiratory,,"vomiting, cough, sore throat, difficulty breathing, wheezing",mild,"How doctors diagnose bronchospasm A healthcare provider can diagnose bronchospasm. They’ll review your medical history, ask about your symptoms and perform a physical exam. During the exam, they may listen to your lungs with a stethoscope. If they think you’re having bronchospasms, they may refer you to a pulmonologist or allergist. What does it sound like? Healthcare providers listen to your lungs with a stethoscope. Stethoscopes pick up very quiet sounds. When they use one, they listen for high-pitched whistling sounds. Tests that are used Your healthcare provider may recommend pulmonary (lung) function tests to see how well your lungs work. These may include: Spirometry : You use a spirometer that measures the force of air as you breathe in and out. Lung diffusion capacity : You breathe into a tube to determine how well oxygen transfers or diffuses between your lungs and blood. Lung volume assessment : This tells your provider how much air your lungs can hold. Pulse oximetry : Your provider places a device on your finger or ear to measure how much oxygen is in your blood. Depending on your history, your provider may also recommend: Methacholine challenge or provocation tests : These test for the presence of asthma. They measure how your lungs respond to methacholine. Methacholine is a medication that can induce bronchospasm. Imaging tests : Chest X-rays and CT scans can help your provider see infections or other lung problems. Arterial blood gas : This test measures the amount of oxygen and carbon dioxide in your blood. It also measures the levels of acids and bases (alkaline) in your blood (pH level). Eucapnic voluntary hyperventilation : This test checks for exercise-induced bronchospasm. You breathe in a mixture of oxygen and carbon dioxide. The mixture mimics breathing during exercise. You likely have exercise-induced bronchospasm if the mixture negatively affects your lungs.","0.687, 0.534, 0.524, 0.520, 0.518",,https://my.clevelandclinic.org/health/diseases/22620-bronchospasm,,TRUE,Oncology,Concerned with the diagnosis and treatment of cancer.,,,
13,acute fatty liver of pregnancy,"Acute fatty liver of pregnancy (AFLP) is a rare, but serious, condition that can cause liver failure, as well as other life-threatening complications. It happens when too much fat builds up in your liver when you’re pregnant. It’s a medical emergency and involves delivering the fetus as soon as possible.",N/A,,"emotional symptoms, sharp abdominal pain",high,"How is acute fatty liver of pregnancy diagnosed? Early diagnosis and quick treatment is essential as AFLP can lead to organ failure. The most accurate diagnostic tool is a liver biopsy , which involves your healthcare provider examining your liver tissue under a microscope. However, this isn’t always safe in pregnancy. Often, your pregnancy care provider can diagnose AFLP based on your symptoms and health history. Your provider will order blood tests to look for AFLP. Results of your liver function blood test may raise a red flag and lead your provider to suspect AFLP. These tests often show signs of: Higher levels of liver enzymes ( elevated liver enzymes ). Problems with how your blood clots . Increases of ammonia , uric acid and protein in your blood. Low blood sugar values. Evidence of kidney damage. To make a diagnosis, your provider may also order an ultrasound or computed tomography (CT scan) to get a detailed view of your liver.","1.0, 0.888",,https://my.clevelandclinic.org/health/diseases/24857-acute-fatty-liver-of-pregnancy,,TRUE,Ophthalmology,Specializes in diseases and disorders of the eye and vision.,,,
14,acute glaucoma,"Glaucoma is an umbrella term for eye diseases that make pressure build up inside your eyeball, which can damage delicate, critical parts at the back of your eye . Most of these diseases are progressive, which means they gradually get worse. As they do, they can eventually cause permanent vision loss and blindness. In fact, glaucoma is the second-leading cause of blindness worldwide.",N/A,,"double vision, foreign body sensation in eye, diminished vision, pain in eye, symptoms of eye",high,"How is glaucoma diagnosed? An eye care specialist can diagnose glaucoma using an eye exam , including several tests that are part of routine eye exams. In fact, eye exams can detect glaucoma long before you have eye damage and the symptoms that follow. Many of these tests involve pupil dilation (mydriasis) , so your provider can get a better look inside your eye. Some of the most helpful glaucoma tests include: Visual acuity testing Visual field testing Depth perception testing Tonometry Pachymetry Slit lamp exam Gonioscopy If your eye care specialist has a reason to suspect damage to your retina and/or optic nerve, they may also use additional types of eye imaging. These include: Optical coherence tomography Fluorescein angiography Ultrasound Less commonly, computed tomography (CT) or magnetic resonance imaging (MRI) Advertisement","0.728, 0.695, 0.571, 0.566, 0.538",,https://my.clevelandclinic.org/health/diseases/4212-glaucoma,,TRUE,Psychiatry,"Focuses on mental health conditions affecting mood, behavior, cognition, and emotional well-being.",,,
15,acute kidney injury,N/A,N/A,,"retention of urine, weakness, vomiting, nausea, kidney mass",high,N/A,"0.682, 0.540, 0.533, 0.515, 0.504",,https://www.nhs.uk/search/click?url=%2Fconditions%2Facute-kidney-injury%2F&pos=1&hash=aYVwRKOJAAruFue558T7uzxMnpfcX8iLmfk6cWCG4O8%3D&id=ea5e1c35-8ee3-4830-8712-b26879abc009&searchText=acute%20kidney%20injury&documentId=c251763e-1e86-4fa4-8fc0-de423114a510&pageIndex=0,,TRUE,Respiratory / Pulmonology,"Deals with diseases of the lungs and respiratory system, including asthma, COPD, and pneumonia.",,,
16,acute otitis media,N/A,N/A,,"diminished hearing, coryza, plugged feeling in ear, fever, redness in ear",mild,N/A,"0.661, 0.653, 0.527, 0.516, 0.516",,N/A,,TRUE,Rheumatology,"Specializes in autoimmune and inflammatory diseases affecting joints, connective tissues, and the immune system.",,,
17,acute pancreatitis,N/A,N/A,,"burning abdominal pain, nausea, vomiting, abusing alcohol, hemoptysis",high,N/A,"0.525, 0.515, 0.514, 0.508, 0.508",,https://www.nhs.uk/search/click?url=%2Fconditions%2Facute-pancreatitis%2F&pos=1&hash=o4p6sx1ocfnbbV8QjVSX5vqH%2BhV3RJaSmUx4xhWOlV4%3D&id=a342ee0a-0224-44d5-9843-a7e35cb20a5f&searchText=acute%20pancreatitis&documentId=1cb90971-f99d-4b51-9c61-8c68d4c4042d&pageIndex=0,,TRUE,Urology,"Focuses on the urinary tract and male reproductive system, including kidney stones, bladder disorders, and prostate conditions.",,,
18,acute respiratory distress syndrome,"Acute respiratory distress syndrome (ARDS) is a lung injury that happens when fluids build up in small air sacs (alveoli) in your lungs . ARDS prevents your lungs from filling up with air and causes dangerously low oxygen levels in your blood ( hypoxia ). Healthcare providers typically diagnose a person as having mild, moderate or severe respiratory distress syndrome. They determine that level by comparing the level of oxygen in your blood with the amount of oxygen that needs to be given to achieve a healthy blood oxygen level .",Respiratory,,"chills, chest tightness, fever, wheezing, sharp chest pain",high,"What tests are done to diagnose acute respiratory distress syndrome (ARDS)? Healthcare providers diagnose ARDS based on a physical exam and the results of several tests. Since the symptoms of ARDS are similar to chronic lung or heart conditions, your provider may need to rule out other causes. A healthcare provider may order a combination of tests, including: Chest X-ray to measure fluid in your lungs. A blood test to measure oxygen levels in your blood and determine the severity of ARDS. Echocardiogram (ultrasound of your heart) to evaluate heart function. Electrocardiogram (or EKG) to measure your heart’s electrical activity. A fingertip sensor (pulse oximetry) for constant monitoring of oxygen levels. A computed tomography (CT) scan to provide more detailed information about your lungs. Sampling of secretions from your airways to find the cause of an infection. Advertisement","0.747, 0.649, 0.523, 0.521, 0.521",,https://my.clevelandclinic.org/health/diseases/15283-acute-respiratory-distress-syndrome-ards,,TRUE,Emergency / Trauma Medicine,"Provides immediate care for acute illnesses, injuries, and life-threatening emergencies.",,,
19,acute sinusitis,Acute sinusitis is a short-term sinus infection (sinusitis). Acute sinusitis symptoms may last a week to 10 days and often go away without medical treatment. Home care and over-the-counter (OTC) decongestants help ease acute sinusitis symptoms.,Respiratory,,"sore throat, coryza, sinus congestion, ear pain, frontal headache",mild,"How is acute sinusitis diagnosed? Healthcare providers typically diagnose acute sinusitis by discussing your symptoms, including how long you’ve had them and if they’re getting worse. A provider will look at your ears, nose and throat for signs of swelling or drainage.","0.657, 0.538, 0.530, 0.529, 0.523",,https://my.clevelandclinic.org/health/diseases/15285-acute-sinusitis,,TRUE,,,,,
20,acute stress reaction,N/A,Neurology,,"abnormal involuntary movements, sharp chest pain, headache, dizziness, depressive or psychotic symptoms",mild,N/A,"0.670, 0.531, 0.516, 0.513, 0.512",,N/A,,FALSE,,,,,
21,adhesive capsulitis of the shoulder,N/A,N/A,,"muscle pain, arm pain, shoulder stiffness or tightness, neck pain, ache all over",low,N/A,"0.890, 0.753, 0.589, 0.534, 0.520",Frozen shoulder,N/A,,TRUE,,,,,
22,adjustment reaction,N/A,Neurology,,"delusions or hallucinations, insomnia, depression, hostile behaviour, fears and phobias",low,N/A,"0.701, 0.687, 0.667, 0.530, 0.514",,N/A,,FALSE,,,,,
23,adrenal adenoma,"Adrenal adenomas are benign (noncancerous) tumors in your adrenal glands. Your adrenal glands are small, triangular glands located atop both of your kidneys. They secrete hormones that help your body respond to stress. Your adrenal glands also release hormones that regulate your blood sugar, blood pressure and immune system, among other essential functions.",N/A,,"shortness of breath, anxiety and nervousness, back weakness, sharp abdominal pain",mild,"How are adrenal tumors diagnosed? Many people don’t realize they have an adrenal adenoma until their healthcare provider discovers an adrenal gland tumor during an imaging procedure for an unrelated medical condition. These tumors are sometimes called “incidentalomas” because they’re found incidentally, or by chance. Advertisement Your healthcare provider will first determine whether a tumor is cancerous (for example, adrenocortical carcinoma) or benign (for example, adrenal adenoma). If it’s an adrenal adenoma, they’ll perform tests to determine whether it’s secreting excess hormones. What tests are used to diagnose adrenal adenoma? Your healthcare provider will perform a physical exam and ask you about your symptoms and medical history. They may perform any of the following tests to learn more about your tumor: Blood or urine test : A blood or urine test allows your healthcare provider to check for elevated hormone levels that may be a sign of a functioning tumor. You may need to collect your urine for 24 hours so they can test it for elevated cortisol . Imaging : A CT scan is the most commonly used imaging procedure used to diagnose adrenal adenoma. In some instances, your healthcare provider may order an MRI instead. Imaging helps them determine whether a tumor is malignant or benign. For example, larger tumors (more than 4 centimeters) are more likely to be cancerous than smaller tumors. Biopsy : Your healthcare provider may perform a fine-needle aspiration if other tests don’t provide enough information about whether a tumor is cancer or an adrenal adenoma. During this procedure, they’ll use a thin hollow needle to remove tissue from the tumor. A lab specialist, called a pathologist , examines the tissue underneath a microscope to check for signs of cancer. Advertisement Other tests may include adrenal vein sampling or a metaiodobenzylguanidine (MIBG) scan.","0.914, 0.857, 0.828, 0.571",,https://my.clevelandclinic.org/health/diseases/17769-adrenal-adenoma,,TRUE,,,,,
24,adrenal cancer,"Adrenal cancer occurs when cells in your adrenal glands mutate (change) and grow, forming a tumor . You have two adrenal glands — one on top of each kidney . They make hormones that send signals to many different organs to help keep your body healthy.",Ontology,,"dizziness, diminished hearing",high,"How is adrenal cancer diagnosed? Your healthcare provider may suspect cancer in your adrenal glands based on your specific symptoms, such as excessive hair growth or unexplained weight changes. But sometimes, providers find adrenal tumors after taking a CT (computed tomography) scan or MRI (magnetic resonance imaging) for other reasons. Advertisement During a visit with your healthcare provider, they’ll: Perform a physical examination . Review your medical history. Ask about your symptoms. See if you have any known risk factors for adrenal cancer. Review your family history of cancer. What tests can help diagnose adrenal cancer? After your exam, your healthcare provider will run additional tests to confirm your diagnosis or rule out other conditions. These tests may include: Blood tests . Urinalysis (urine tests) . Imaging tests. Adrenal cancer staging Healthcare providers use a cancer staging system to diagnose adrenal cancer. Staging tells you the size and location of the tumor and whether it has metastasized (spread to other areas of your body). In general, the higher the number, the more advanced the tumor: Stage 1 : The tumor measures 5 centimeters or less and hasn’t spread outside of your adrenal gland. Stage 2 : The tumor measures more than 5 centimeters and hasn’t spread outside of your adrenal gland. Stage 3 : The cancer is in your adrenal gland and has spread to surrounding tissues or nearby lymph nodes . Stage 4 : The cancer is in your adrenal gland and has spread to distant areas of your body, such as your lungs or liver . Staging systems can be complex. If you have specific questions about your diagnosis, you should talk to your healthcare provider. Advertisement","1.0, 1.0",,https://my.clevelandclinic.org/health/diseases/25236-adrenal-cancer,,TRUE,,,,,
25,alcohol abuse,N/A,Neurology,,"vomiting blood, smoking problems, hostile behaviour, depression, low self-esteem",mild,N/A,"0.678, 0.676, 0.676, 0.529, 0.513",Alcohol misuse,N/A,,TRUE,,,,,
26,alcohol intoxication,N/A,Neurology,,"abnormal involuntary movements, anxiety and nervousness, sharp chest pain, problems with movement, depressive or psychotic symptoms",mild,N/A,"0.709, 0.703, 0.695, 0.692, 0.558",Alcohol poisoning,N/A,,TRUE,,,,,
27,alcohol withdrawal,Alcohol withdrawal (alcohol withdrawal syndrome) is a range of symptoms that can happen if you stop or significantly reduce alcohol intake after long-term use. It typically affects people with alcohol use disorder (AUD) .,Neurology,,"dizziness, depressive or psychotic symptoms, vomiting, seizures, antisocial behaviour",low-high,"How is alcohol withdrawal diagnosed? Healthcare providers make a diagnosis of alcohol withdrawal syndrome based on: A physical exam . Your symptoms. Your alcohol use history. Your medical history. It’s important to be honest about your alcohol use — and any other substance use — so your provider can give you the best care. Your provider may recommend other tests — like blood tests and an EKG (electrocardiogram) — to check your overall health, especially since alcohol use disorder can cause health complications. They may assess you for conditions like: Advertisement Dehydration and electrolyte imbalances . Injuries. Infection. Liver function issues. Heart issues. Gastrointestinal (GI) bleeding .","0.672, 0.646, 0.533, 0.529, 0.518",,https://my.clevelandclinic.org/health/diseases/alcohol-withdrawal,,TRUE,,,,,
28,alcoholic liver disease,N/A,N/A,,"abnormal involuntary movements, weight gain, stomach bloating, diarrhea, sharp abdominal pain",high,N/A,"0.784, 0.678, 0.666, 0.650, 0.536",Alcohol-related liver disease (ARLD),N/A,,TRUE,,,,,
29,allergy,N/A,N/A,,"fluid retention, allergic reaction, peripheral edema, skin swelling, itching of skin",low-high,N/A,"0.672, 0.524, 0.521, 0.516, 0.512",,https://www.nhs.uk/search/click?url=%2Fconditions%2Ffood-allergy%2F&pos=2&hash=9aNzJtRc0jKu0cIPTHTKrj1RbhQul9oKxMjJDsRWyZw%3D&id=f37868ce-22a9-434d-9d7d-6278f7b9549a&searchText=allergy&documentId=90fc51fa-714f-4f9a-9e83-e3a9b9ee9263&pageIndex=0,,TRUE,,,,,
30,allergy to animals,N/A,N/A,,"sore throat, cough, cross-eyed, nasal congestion, allergic reaction",low-high,N/A,"0.974, 0.794, 0.769, 0.666, 0.666",,N/A,,FALSE,,,,,
31,alopecia,N/A,Dermatology,,"itching of skin, skin swelling, acne or pimples, irregular appearing scalp, skin rash",low,N/A,"0.723, 0.720, 0.688, 0.526, 0.526",,N/A,,FALSE,,,,,
32,alzheimer's disease,N/A,Neurology,,"eye burns or stings, hostile behavior, irregular appearing scalp, depressive or psychotic symptoms, difficulty speaking",high,"As the symptoms of Alzheimer's disease progress slowly, it can be difficult to recognise that there's a problem. Many people feel that memory problems are simply a part of getting older. Also, the disease process itself may (but not always) prevent people recognising changes in their memory. But Alzheimer's disease is not a ""normal"" part of the ageing process. An accurate and timely diagnosis of Alzheimer's disease can give you the best chance to prepare and plan for the future, as well as receive any treatment or support that may help. If you're worried about your memory or think you may have dementia, it's a good idea to see a GP. If possible, someone who knows you well should be with you as they can help describe any changes or problems they have noticed. If you're worried about someone else, encourage them to make an appointment and perhaps suggest that you go along with them. There's no single test that can be used to diagnose Alzheimer's disease. And it's important to remember that memory problems do not necessarily mean you have Alzheimer's disease. A GP will ask questions about any problems you're experiencing and may do some tests to rule out other conditions. If Alzheimer's disease is suspected, you may be referred to a specialist service to: assess your symptoms in more detail organise further testing, such as brain scans if necessary create a treatment and care plan Read more about diagnosing Alzheimer's disease .","0.75, 0.684, 0.675, 0.553, 0.538",,https://www.nhs.uk/search/click?url=%2Fconditions%2Falzheimers-disease%2F&pos=1&hash=AmX82KwJhApPWD5g%2FMmdQTGo%2F5EMcU2YtTT4mkYK%2BaQ%3D&id=f258f029-8114-48f3-b851-c66e2c6f6e78&searchText=alzheimer%27s%20disease&documentId=7df3a76e-1a3b-4ca3-a4b2-05915a9a3b4a&pageIndex=0,,TRUE,,,,,
33,amblyopia,Amblyopia is an eye condition that affects the ability to see clearly out of both eyes. It usually develops when a child is an infant or very young and can get worse over time if it’s not treated.,N/A,,"pus draining from ear, cross-eyed, diminished vision, eye deviation, pain in eye",low,How is amblyopia diagnosed? A healthcare provider or eye care specialist will diagnose amblyopia. Providers screen all kids for amblyopia during their regular checkup. They’ll perform an eye exam to check your child’s eyes (including inside them). Your provider will test how well your child can see. They’ll also look for anything that’s affecting your child’s eyes’ ability to work like they should. It’s common for a provider to diagnose amblyopia before you notice any symptoms at home. Most kids diagnosed with amblyopia are too young to communicate that their vision is worse or changing before a provider notices it. Tell your provider or eye care specialist if you’ve noticed any changes in how your child holds their head or interacts with objects around them. Advertisement,"0.872, 0.765, 0.659, 0.659, 0.531",,https://my.clevelandclinic.org/health/diseases/10707-amblyopia-lazy-eye,,TRUE,,,,,
34,amyloidosis,N/A,N/A,,"anxiety and nervousness, wrist weakness, shortness of breath",high,N/A,"1.0, 1.0, 0.75",,https://www.nhs.uk/search/click?url=%2Fconditions%2Famyloidosis%2F&pos=1&hash=SPKUoWZV3CD0HMKRggZ65vCYZ6vOTsL36JwsVW7Jzok%3D&id=886fc2ea-bbad-4a59-a22f-f316871c5ec2&searchText=amyloidosis&documentId=458233eb-9220-477e-8d82-2bfafdd4e086&pageIndex=0,,TRUE,,,,,
